,product name,product price
0,"Arcade Archives Green Beret (English, Japanese)",RM 33.00
1,"Deadly Apparition Starter Pack (Simplified Chinese, English, Japanese)",RM 20.00
2,"Dreaming Canvas (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",RM 20.00
3,Fluxteria (English/Chinese/Korean/Japanese Ver.),RM 20.00
4,JigSaw Abundance (English/Chinese/Korean/Japanese Ver.),RM 20.00
5,"Just Dance 2021 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",RM 159.00
6,"Let's Sing 2021 Asia (Simplified Chinese, English, Traditional Chinese)",RM 169.00
7,"Let's Sing 2021 中文版 Platinum Edition (Simplified Chinese, English, Traditional Chinese)",RM 317.00
8,More Dark (English Ver.),RM 20.00
9,"Nerved (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",RM 39.00
10,Sigi - A Fart for Melusina (English),RM 20.00
11,Sigi - A Fart for Melusina (English),RM 23.00
12,Warframe® (English),Free
